Team,Year,AGL,Rank,AGL_norm
BAL,2018,29.7,1,1.9
BUF,2018,33.8,2,1.7
CHI,2018,36.6,3,1.6
LAR,2018,39.6,4,1.5
PIT,2018,40.4,5,1.5
NO,2018,50.7,6,1
CLE,2018,51.1,7,1
NYG,2018,53.3,8,0.9
KC,2018,60.8,9,0.7
SEA,2018,65.7,10,0.5
TEN,2018,68.7,11,0.3
MIN,2018,73.9,12,0.1
NYJ,2018,74.6,13,0.1
DEN,2018,76.2,14,0.1
DET,2018,76.8,15,0
ATL,2018,77.9,16,0
DAL,2018,78.5,17,0
NE,2018,78.6,18,0
OAK,2018,81.7,19,-0.2
HOU,2018,89.6,20,-0.5
GB,2018,92.7,21,-0.6
MIA,2018,95.3,22,-0.7
ARI,2018,95.6,23,-0.7
WAS,2018,99.3,24,-0.8
LAC,2018,100,25,-0.9
CAR,2018,103.8,26,-1
JAX,2018,104.6,27,-1.1
CIN,2018,104.9,28,-1.1
SF,2018,105.5,29,-1.1
TB,2018,109.3,30,-1.2
IND,2018,116.5,31,-1.5
PHI,2018,118.5,32,-1.6
BAL,2017,101.6,27,-1
BUF,2017,44.5,9,0.8
CHI,2017,118.1,31,-1.6
LAR,2017,15.6,1,1.8
PIT,2017,30.5,4,1.3
NO,2017,95.9,24,-0.9
CLE,2017,52.7,12,0.6
NYG,2017,96.3,25,-0.9
KC,2017,80,19,-0.3
SEA,2017,88.2,22,-0.6
TEN,2017,27.6,3,1.4
MIN,2017,47.7,11,0.7
NYJ,2017,47.4,10,0.7
DEN,2017,65.9,15,0.1
DET,2017,72.7,17,-0.1
ATL,2017,16.3,2,1.7
DAL,2017,37.2,5,1.1
NE,2017,61.3,14,0.3
OAK,2017,44.2,8,0.8
HOU,2017,107.3,29,-1.2
GB,2017,84.8,21,-0.5
MIA,2017,115.5,30,-1.5
ARI,2017,105.6,28,-1.2
WAS,2017,121,32,-1.7
LAC,2017,67.6,16,0.1
CAR,2017,42.9,7,0.9
JAX,2017,38.3,6,1
CIN,2017,80.8,20,-0.4
SF,2017,91.6,23,-0.7
TB,2017,78.6,18,-0.3
IND,2017,101.2,26,-1
PHI,2017,53.5,13,0.5
LAR,2016,29,1,1.6
TEN,2016,32,2,1.5
CIN,2016,35.1,3,1.4
PHI,2016,38.4,4,1.3
SEA,2016,41.1,5,1.2
ATL,2016,52.2,6,0.8
NYG,2016,52.4,7,0.8
NE,2016,54.5,8,0.7
CAR,2016,56.5,9,0.7
DEN,2016,60.2,10,0.5
BAL,2016,60.3,11,0.5
PIT,2016,61.8,12,0.5
OAK,2016,65,13,0.4
DET,2016,69.5,14,0.2
GB,2016,70.5,15,0.2
DAL,2016,70.6,16,0.2
JAX,2016,72.5,17,0.1
TB,2016,77.5,18,0
ARI,2016,77.8,19,-0.1
IND,2016,78.4,20,-0.1
NO,2016,81.3,21,-0.2
HOU,2016,91.7,22,-0.5
CLE,2016,96.4,23,-0.7
SF,2016,97.5,24,-0.7
BUF,2016,97.8,25,-0.7
MIA,2016,99.1,26,-0.8
KC,2016,99.3,27,-0.8
WAS,2016,101.5,28,-0.9
NYJ,2016,110.5,29,-1.2
MIN,2016,120.6,30,-1.5
LAC,2016,127.8,31,-1.8
CHI,2016,155.1,32,-2.7
LAR,2015,80.3,24,-0.5
TEN,2015,65.2,18,0.2
CIN,2015,28.2,1,1.8
PHI,2015,52,6,0.7
SEA,2015,40.1,3,1.3
ATL,2015,28.8,2,1.8
NYG,2015,138.7,32,-3.1
NE,2015,93.3,29,-1.1
CAR,2015,50.9,4,0.8
DEN,2015,56.7,10,0.5
BAL,2015,96.1,30,-1.2
PIT,2015,67.1,19,0.1
OAK,2015,57.6,11,0.5
DET,2015,76.7,23,-0.3
GB,2015,56.2,9,0.5
DAL,2015,51.7,5,0.7
JAX,2015,68.9,20,0
TB,2015,75,22,-0.3
ARI,2015,62.5,14,0.3
IND,2015,65.1,17,0.2
NO,2015,56.1,8,0.6
HOU,2015,64.8,16,0.2
CLE,2015,70.7,21,-0.1
SF,2015,83.9,27,-0.7
BUF,2015,80.5,25,-0.5
MIA,2015,63.4,15,0.2
KC,2015,54.9,7,0.6
WAS,2015,119.1,31,-2.2
NYJ,2015,61.8,13,0.3
MIN,2015,59,12,0.4
LAC,2015,81.5,26,-0.6
CHI,2015,92.8,28,-1.1
DEN,2014,36.9,1,1.5
NYJ,2014,41.5,2,1.4
GB,2014,41.9,3,1.3
PIT,2014,42.8,4,1.3
PHI,2014,48.6,5,1.1
CAR,2014,51.4,6,0.9
BAL,2014,52.6,7,0.9
MIN,2014,56.1,8,0.8
NO,2014,58,9,0.7
BUF,2014,59,10,0.6
HOU,2014,59.9,11,0.6
NE,2014,62,12,0.5
LAR,2014,64.1,13,0.4
CLE,2014,67,14,0.3
DET,2014,67.6,15,0.3
